pair,signal_time,direction,close_price,fvg_4h_zone_active,ob_4h_zone_active,liq_sweep_1h,liq_sweep_qualified,bos_1h,choch_1h,msb_15m_confirmed,mtf_confluence,atr_ratio,bb_width,close_vs_ema20_4h,close_vs_ema50_4h,high_low_range_15m,trend_direction,momentum_long,momentum_short,macd_histogram,macd_signal_cross,rsi_14,rsi_zone,stoch_k,stoch_d,momentum_3bar,ob_4h_distance_pips,fvg_4h_fill_ratio,liq_sweep_strength,fvg_4h_size_pips,ob_4h_size_pips,sweep_depth_atr_ratio,prior_candle_body_ratio,consecutive_same_dir,sweep_pending_bars,open_positions_count,max_dd_24h,calendar_risk_score,sentiment_score,risk_appetite_score,usd_macro_score,jpy_macro_score,oil_shock_score,geopolitical_risk_score,session_type,day_of_week,future_close_price,future_return_pips,label
USDJPY,2026-03-16 10:45:00+00:00,short,159.226,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.9163225405129776,0.1126170987171763,0.0843494314906299,0.5476239975531303,0.0490000000000065,1.0,0.0,3.0,-0.003496854160352,0.0,38.05973695073757,0.0,12.972972972973306,27.37293897671019,-0.0376680938688913,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.1379310344829445,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,159.144,-8.199999999999363,2
USDJPY,2026-03-16 11:00:00+00:00,short,159.226,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8961586417788633,0.1212948332767701,0.0843494314906299,0.5476239975531303,0.0529999999999972,1.0,0.0,1.0,-0.004522330962168,0.0,38.059736950737566,0.0,12.972972972973306,18.01801801801677,-0.0226042621592102,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.5714285714283228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,159.112,-11.400000000000432,2
USDJPY,2026-03-16 11:15:00+00:00,short,159.248,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8943619185672991,0.1250695511202766,0.0981779248741975,0.5615165008374261,0.0739999999999838,1.0,0.0,1.0,-0.0031211201935949,0.0,40.85442692505747,0.0,34.43396226414285,20.12663607002982,-0.0037675662777702,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,159.179,-6.89999999999884,2
USDJPY,2026-03-16 11:30:00+00:00,short,159.144,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9470154050935656,0.1446579354780863,0.0328068652427709,0.495842848948011,0.1419999999999959,1.0,1.0,1.0,-0.0083062744293195,0.0,33.22315676162647,1.0,10.332103321030615,19.246346186048925,-0.051499127026989,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.3108108108108264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,159.182,3.7999999999982492,2
USDJPY,2026-03-16 11:45:00+00:00,short,159.128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9252479109848544,0.1696919621019426,0.0227497791456147,0.4857392101957795,0.0519999999999925,1.0,1.0,1.0,-0.0117129342019809,0.0,32.22583964152159,1.0,9.122807017537664,17.962957534237045,-0.0615477371786097,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.7394366197182591,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,159.294,16.600000000002524,2
USDJPY,2026-03-16 12:00:00+00:00,short,159.064,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.952329679786764,0.2053158648109852,-0.0174785652429568,0.4453246551869072,0.1110000000000184,1.0,0.0,1.0,-0.0168628370827605,0.0,28.535829535619342,0.0,8.757062146893993,9.403990828487425,-0.1155430523460247,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.3076923076927281,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,158.965,-9.899999999998954,0
USDJPY,2026-03-16 12:15:00+00:00,short,159.077,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9590893267776084,0.2284131725892237,-0.009307182789024,0.4535338616730885,0.0879999999999938,1.0,1.0,1.0,-0.0178830106219766,0.0,30.28211633436085,1.0,12.429378531076123,10.10308256516926,-0.042100236264017,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.5765765765764174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,158.976,-10.099999999999909,2
USDJPY,2026-03-16 12:30:00+00:00,short,159.004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9874732193575774,0.260188907648252,-0.0551926381072482,0.4074360098660839,0.1160000000000138,1.0,0.0,1.0,-0.0217088307231088,0.0,26.383395859047184,0.0,10.144927536231885,10.443789404734,-0.0779246895580886,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.1590909090910338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,158.998,-0.6000000000000227,0
USDJPY,2026-03-16 12:45:00+00:00,short,159.13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0619948058616384,0.2659528130219025,0.0217200454581832,0.4678146970891019,0.1760000000000161,1.0,0.0,1.0,-0.0143434260071064,0.0,40.598912279715215,0.0,40.67796610169538,21.08409072300113,0.041492732485039,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.6206896551723631,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,159.078,-5.19999999999925,2
USDJPY,2026-03-16 13:00:00+00:00,short,159.116,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0563806645203675,0.2654577404270464,0.0129202963182688,0.4589757012633155,0.0840000000000031,1.0,0.0,1.0,-0.0092514664369824,0.0,39.682010732657126,0.0,39.89637305699875,30.239755564975336,0.0245164291506727,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.7159090909090524,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,159.162,4.599999999999227,2
USDJPY,2026-03-16 13:15:00+00:00,short,159.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0438371953671557,0.2677421538941393,0.0280055805581246,0.4741282655360948,0.0749999999999886,1.0,0.0,1.0,-0.0034052299865864,0.0,42.09626375766841,0.0,46.11398963730211,42.22944293199875,0.0855324394354831,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.1666666666664411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,159.448,30.800000000002115,2
USDJPY,2026-03-16 13:30:00+00:00,short,159.038,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.06348954064657,0.2726962274944172,-0.0361068774613203,0.4097298673767243,0.1140000000000043,1.0,0.0,1.0,-0.0054259612086776,0.0,35.57851825058884,0.0,23.03030303030877,36.34688857486987,-0.057814365613011,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.3199999999996816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,159.564,52.599999999998204,0
USDJPY,2026-03-16 13:45:00+00:00,short,158.938,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.1222596095996695,0.2941798732905268,-0.0989622284608056,0.3465941829067238,0.164999999999992,1.0,1.0,1.0,-0.0121316230988369,0.0,30.57965812860681,1.0,8.762886597935916,25.96905975518227,-0.1118680710928037,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.8947368421050138,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,159.484,54.60000000000207,0
USDJPY,2026-03-16 14:00:00+00:00,short,158.853,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.1507983329254048,0.3275919000176721,-0.1523892768103431,0.2929288511072484,0.1339999999999861,1.0,0.0,1.0,-0.0204372715124224,0.0,27.094888273899443,0.0,0.2421307506064932,10.678440126283729,-0.1803443508859983,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.6000000000001378,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,159.516,66.29999999999825,0
USDJPY,2026-03-16 14:15:00+00:00,short,158.973,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.180570679774454,0.3221043327249541,-0.076962855610975,0.3686916724712347,0.13900000000001,1.0,0.0,1.0,-0.016181162909278,0.0,37.86087019498915,0.0,29.468599033820738,12.824538794121048,-0.0408707352959655,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.6343283582088681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,159.496,52.29999999999961,0
USDJPY,2026-03-16 14:30:00+00:00,short,159.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.2327823454385685,0.306540961438851,0.0280055805581246,0.4741282655360948,0.1709999999999922,1.0,0.0,1.0,-0.0012383902727844,0.0,49.1212281021538,0.0,71.00737100736602,33.57270026393108,0.1270935836615524,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.8561151079136058,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,159.496,35.6000000000023,0
USDJPY,2026-03-16 14:45:00+00:00,short,159.144,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.202057920622286,0.2854318683288124,0.0305197945981154,0.4766536929149063,0.0739999999999838,1.0,1.0,1.0,0.0092197948510184,1.0,49.35794353023362,0.0,71.99017199017166,57.4887140104528,0.1831882306283147,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.9824561403507928,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,159.504,35.99999999999852,0
USDJPY,2026-03-16 15:00:00+00:00,short,159.112,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.2021525839039582,0.2688212650537557,0.010406082278278,0.456450273884504,0.1099999999999852,1.0,0.0,1.0,0.0140004423823695,0.0,47.455755238533456,0.0,70.73170731707205,71.24308343820324,0.0874362313097076,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.0540540540543239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,159.511,39.90000000000009,0
USDJPY,2026-03-16 15:15:00+00:00,short,159.179,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.2220091214521525,0.257696808882477,0.0525191674479281,0.4987511824793993,0.1359999999999956,1.0,0.0,1.0,0.021257948777487,0.0,51.65665796669446,0.0,88.88888888888974,77.20358939871115,0.0245067236395725,0.0,0.0,0.0215666590293264,0.0,0.0,0.0,0.2909090909092271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,159.424,24.500000000000455,0
